speed,sentence1,sentence2,sentence3,sentence4,sentence5,sentence6,sentence7,sentence8,sentence9,sentence10
0.25,25556.084809303284,29455.57820034027,29007.308938980103,43997.53324508667,34243.39323425293,24325.474390029907,32193.807941436768,27487.514043807983,26221.64222240448,21300.922852516174
0.5,12562.194405555725,14195.54294204712,14438.991941452026,21630.22762298584,16892.65846633911,11763.548784255981,15051.913259506226,12398.376551628113,12642.9275598526,9924.30989933014
0.75,9288.731128692627,9833.873468995094,9516.773854255676,14569.06882095337,11223.119327545166,8079.980729103088,8037.192006587982,7074.29008102417,8804.695329666138,6971.242870330811
1.0,7148.826429367065,7125.881875991821,7356.147630929947,7933.053686141968,7667.055441856384,6527.69588470459,7561.2811822891235,6099.988455295563,6629.82333779335,4252.96133518219
1.25,10350.197086334229,9362.390836715698,9655.37353181839,13387.238343715668,9523.716857910156,7590.660000801086,9261.010219573975,7594.629243373871,7328.4674825668335,5544.796974182129
1.5,11294.010062217712,11463.195055007935,11468.444120407104,16141.84604883194,12137.699896335602,9800.362092971802,11087.403484344482,10459.6874294281,8653.2971367836,6408.127555847168
1.75,13664.090103149414,14068.398910522461,13991.192249298096,21648.79306793213,14818.641880989075,12247.509282112122,14305.841262817383,11837.580350875854,11269.544660568237,9203.405082702637
2.0,15484.720462799072,17870.609670639038,16469.319328308105,23059.289916992188,18710.233921051025,14507.589601516724,16804.729831695557,13206.482330322266,12877.713966369629,11562.572231292725
2.25,21580.597618103027,25255.060150146484,23279.73825263977,35430.35890960693,27788.269645690918,21826.26063156128,25252.629432678223,20079.861568450928,19484.0906829834,16385.8604888916
2.5,21483.773458480835,23228.522647857666,24601.630981445312,34600.58934020996,30455.9342918396,24124.955963134766,23328.674812316895,20987.20696258545,22424.20587158203,17797.320892333984
2.75,23765.39661026001,28511.56597137451,25075.002159118652,38664.20036697388,33944.125480651855,24777.350288391113,31807.296745300293,26007.644981384277,23197.17632675171,18619.795974731445
